epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
108,912.434,0.77333,1.68688,0.47655,0.99069,0,0.83226,0.69782,0.72548,0.54536,0.8282,0.69403,0.71653,0.454,0.92072,1.85848,0.79636,1.14862,0,0.00112748,0.00112748,0.00112748
109,920.801,0.76756,1.68114,0.47402,0.98362,0,0.79043,0.75036,0.75822,0.57038,0.78753,0.74392,0.74888,0.47421,0.91925,1.82766,0.71082,1.14678,0,0.00112466,0.00112466,0.00112466
110,929.488,0.7647,1.68872,0.47913,0.9832,0,0.75501,0.78332,0.77032,0.5855,0.75134,0.77647,0.76141,0.48773,0.89252,1.85199,0.67107,1.132,0,0.00112184,0.00112184,0.00112184
111,937.927,0.75942,1.68859,0.46665,0.98181,0,0.80102,0.72581,0.74349,0.55853,0.792,0.7178,0.73261,0.45942,0.92115,1.84744,0.71647,1.144,0,0.00111902,0.00111902,0.00111902
112,946.219,0.76007,1.67476,0.46893,0.98133,0,0.73254,0.70162,0.73181,0.54742,0.72126,0.69133,0.71923,0.45113,0.92353,1.87183,0.78552,1.15471,0,0.00111621,0.00111621,0.00111621
113,954.866,0.76334,1.69672,0.47341,0.98328,0,0.81234,0.71449,0.76276,0.57499,0.80833,0.70868,0.75463,0.48022,0.92762,1.85779,0.71563,1.15042,0,0.00111339,0.00111339,0.00111339
114,963.346,0.75942,1.6663,0.4713,0.98123,0,0.78719,0.71607,0.75885,0.57538,0.7817,0.71102,0.74939,0.48047,0.91564,1.8372,0.71116,1.14332,0,0.00111057,0.00111057,0.00111057
115,971.869,0.75259,1.65769,0.47091,0.98087,0,0.75559,0.74,0.75923,0.57765,0.76185,0.71665,0.74483,0.47421,0.90685,1.86544,0.72441,1.13232,0,0.00110775,0.00110775,0.00110775
116,980.636,0.75283,1.6604,0.46848,0.97833,0,0.77551,0.74357,0.75477,0.56793,0.78191,0.73777,0.74859,0.47367,0.8993,1.84753,0.73129,1.13777,0,0.00110493,0.00110493,0.00110493
117,988.11,0.73806,1.65427,0.46003,0.97542,0,0.76351,0.74763,0.76238,0.57736,0.80328,0.7038,0.7548,0.48004,0.90692,1.82163,0.6907,1.14608,0,0.00110212,0.00110212,0.00110212
118,996.83,0.73319,1.63915,0.46487,0.97435,0,0.79719,0.7257,0.74909,0.56322,0.79448,0.71327,0.73811,0.46562,0.92488,1.88097,0.71858,1.14896,0,0.0010993,0.0010993,0.0010993
119,1004.98,0.74841,1.64888,0.45522,0.97633,0,0.61526,0.74231,0.60672,0.44237,0.61199,0.73285,0.59992,0.3606,0.92445,1.82984,1.31668,1.15476,0,0.00109648,0.00109648,0.00109648
